date,content_type,theme,day_of_week,hour,hook,likes,comments,saved,shares,reach,views,interactions,engagement_rate,hashtag_count,caption_word_count,url
2026-07-06,reel,Find Home Anywhere (global series),Monday,18,"July is the perfect time to embrace the great outdoors, and Canada offers an incredible mix of natural beauty and vibrant city life. 🍁✨ From the stunning landscapes of Banff to the bustling streets of",4,0,0,0,59,66,4,0.0678,6,158,https://www.instagram.com/reel/Dadg2lbE-y5/
2026-07-04,reel,Seller / move-up equity,Saturday,17,What spending the holidays in your new home feels like. ✨,15,4,0,1,544,701,20,0.0368,0,217,https://www.instagram.com/reel/DaYVLuuv4or/
2026-07-02,reel,Humor / relatable,Thursday,11,Describe your job and make it sound illegal... I’ll go first. 😌,11,0,0,0,618,835,11,0.0178,5,184,https://www.instagram.com/reel/DaSh8A5PpK0/
2026-07-01,reel,Personal / behind the scenes,Wednesday,12,"🚨Metro Atlanta teachers🚨, this one is for you. 💛",29,46,2,24,596,870,101,0.1695,0,381,https://www.instagram.com/reel/DaQB0mxPvdy/
2026-06-30,reel,Seller / move-up equity,Tuesday,11,Been in your home 3 to 5 years? Do NOT make a move until you read this. SAVE it for later and SHARE with a friend who needs to hear this from a licensed professional 😉,1,0,0,0,83,123,1,0.012,0,333,https://www.instagram.com/reel/DaNWinWvKEi/
2026-06-29,reel,Listing / deal of the day / home tour,Monday,15,"🏡 Deal of the Day | Fairburn, GA | 6 Beds + 3 Baths",8,0,0,0,256,386,8,0.0312,0,128,https://www.instagram.com/reel/DaLJhnOPSo-/
2026-06-29,reel,Seller / move-up equity,Monday,13,Been in your home 3 to 5 years? Do NOT make a move until you read this. SAVE it for later and SHARE with a friend who needs to hear this from a licensed professional 😉,0,0,0,0,84,96,0,0.0,0,333,https://www.instagram.com/reel/DaLBeA6P6Oe/
2026-06-28,carousel,Seller / move-up equity,Sunday,16,The home you bought five years ago? It might be the most important asset you own. And you’ve probably never looked at it that way.,6,0,0,0,75,162,6,0.08,0,180,https://www.instagram.com/p/DaIxScEFuz7/
2026-06-28,carousel,Seller / move-up equity,Sunday,2,Been in your home 3 to 5 years? Do NOT make a move until you read this. SAVE it for later and SHARE with a friend who needs to hear this from a licensed professional 😉,4,0,0,2,257,722,6,0.0233,0,315,https://www.instagram.com/p/DaHPutHDSPl/
2026-06-26,reel,Listing / deal of the day / home tour,Friday,19,"🏡 Deal of the Day | Kennesaw, GA | 7 Beds + 5.5 Baths",14,0,0,0,278,412,14,0.0504,0,123,https://www.instagram.com/reel/DaD5yw2PSzi/
2026-06-26,reel,Buyer / first-time / financing,Friday,18,"First, breathe. Nobody actually taught us this part, especially when it comes to real estate. So here’s what actually matters in the next few months.",6,0,0,0,222,298,6,0.027,5,185,https://www.instagram.com/reel/DaD0NALPU-u/
2026-06-26,carousel,Buyer / first-time / financing,Friday,19,"First, breathe. Nobody actually taught us this part, especially when it comes to real estate. So here’s what actually matters in the next few months.",9,0,1,1,231,585,11,0.0476,5,188,https://www.instagram.com/p/DaD8uyFFotp/
2026-06-25,reel,Relocation to Atlanta,Thursday,11,The job offer was the easy part.,33,3,1,0,419,742,37,0.0883,0,169,https://www.instagram.com/reel/DaAbQXlvRm9/
2026-06-25,reel,Market stats / education,Thursday,11,Most people don’t get a second chance at a move like this.,10,0,0,0,359,592,10,0.0279,0,188,https://www.instagram.com/reel/DaAangIPuNQ/
2026-06-24,reel,Buyer / first-time / financing,Wednesday,18,POV: you want way more space for your money.,14,6,0,1,250,421,21,0.084,0,62,https://www.instagram.com/reel/DZ-ohUzPw9r/
2026-06-23,reel,Find Home Anywhere (global series),Tuesday,18,"June marks the start of summer, and what better place to enjoy it than the Cayman Islands? 🏝️✨ Known for its stunning beaches, crystal-clear waters, and vibrant marine life, the Cayman Islands offer a",5,0,0,0,167,172,5,0.0299,6,161,https://www.instagram.com/reel/DZ8ChoVEqsA/
2026-06-16,static,Seller / move-up equity,Tuesday,4,Every seller thinks getting on Zillow is the finish line. It's actually just the starting point.,3,0,0,0,80,122,3,0.0375,10,145,https://www.instagram.com/p/DZofN82iu82/
2026-06-01,reel,Buyer / first-time / financing,Monday,18,The #1 mistake renters make — and it could cost you thousands. Never rent a home without someone physically walking through it first. Period.,15,0,0,0,237,285,15,0.0633,1,84,https://www.instagram.com/reel/DZDXddiAgrG/
2026-05-29,static,Seller / move-up equity,Friday,10,Your listing doesn't just need to be on the market. It needs to be in front of the right people the moment it goes live.,1,0,0,0,56,79,1,0.0179,10,150,https://www.instagram.com/p/DY6ztxGCpPU/
2026-05-27,static,Seller / move-up equity,Wednesday,15,"The seller put real thought and care into building this home. Every detail was chosen with purpose, and you can feel that the moment you step inside.",5,0,0,0,139,269,5,0.036,0,124,https://www.instagram.com/p/DY2PqzGimCB/
2026-05-21,reel,Seller / move-up equity,Thursday,21,"This is what selling a luxury home in Metro Atlanta actually looks like behind the scenes. Not a template. Not a checklist. A fully customized, white-glove process built around you, your timeline, and",22,1,1,1,314,624,25,0.0796,0,67,https://www.instagram.com/reel/DYnciMold-B/
2026-05-21,reel,Listing / deal of the day / home tour,Thursday,1,"A Modern Farmhouse like this does not come around often. Flooded with natural light, anchored by a kitchen made for real life and beautiful moments.",7,0,0,2,237,305,9,0.038,0,59,https://www.instagram.com/reel/DYlQvT1lORL/
2026-05-20,static,Uncategorized,Wednesday,16,Something is coming tomorrow.,2,0,0,1,116,224,3,0.0259,0,35,https://www.instagram.com/p/DYkQ68IkcQN/
2026-05-18,reel,Find Home Anywhere (global series),Monday,18,"May is here, and with it comes the promise of sunny days and warm breezes—the perfect time to explore the beauty of the Bahamas. 🏝️✨ Whether you’re drawn to the crystal-clear waters, white sandy beach",0,0,0,0,39,42,0,0.0,6,150,https://www.instagram.com/reel/DYfV5-wkczu/
2026-05-01,reel,Buyer / first-time / financing,Friday,13,You've worked too hard to settle for an average homebuying experience.,13,0,0,0,255,330,13,0.051,10,108,https://www.instagram.com/reel/DXzFNCqj5uB/
2026-04-24,static,Seller / move-up equity,Friday,13,Your home deserves more than a lockbox and a prayer.,15,0,0,0,179,320,15,0.0838,10,86,https://www.instagram.com/p/DXhDwEoio3I/
